i,Estimacion,Error relativo,tiempo (ms)
1,18144.0,0.0297,196.2619
2,17822.0,0.0115,179.1871
3,19549.0,0.1095,177.681
4,18419.0,0.0453,181.025
5,18835.0,0.069,169.6959
6,19840.0,0.126,173.445
7,15533.0,0.1184,178.8089
8,19896.0,0.1292,175.504
9,19699.0,0.118,170.675
10,16697.0,0.0524,177.7859
11,15766.0,0.1052,178.262
12,17841.0,0.0125,170.171
13,15794.0,0.1036,179.2259
14,18349.0,0.0414,171.303
15,18892.0,0.0722,171.6352
16,18433.0,0.0461,174.176
17,17387.0,0.0132,178.1981
18,17326.0,0.0167,175.781
19,18329.0,0.0402,175.549
20,17425.0,0.0111,175.432
21,18594.0,0.0553,180.068
22,21187.0,0.2024,175.0991
23,17396.0,0.0127,168.3581
24,17908.0,0.0163,174.3152
25,17599.0,0.0012,179.307
26,17767.0,0.0083,169.5249
27,16600.0,0.0579,172.7271
28,18942.0,0.075,179.842
29,18125.0,0.0287,175.3342
30,15814.0,0.1025,172.9748
31,17523.0,0.0055,175.37
32,17481.0,0.0079,171.6161
33,16117.0,0.0853,173.9302
34,17764.0,0.0082,174.721
35,17558.0,0.0035,178.972
36,16598.0,0.058,175.9131
37,17255.0,0.0207,172.1671
38,18616.0,0.0565,175.6401
39,17763.0,0.0081,180.104
40,16095.0,0.0865,172.431
41,17330.0,0.0165,171.392
42,18524.0,0.0513,186.888
43,18109.0,0.0278,173.4841
44,17056.0,0.032,166.863
45,16956.0,0.0377,171.8349
46,16348.0,0.0722,182.6961
47,17113.0,0.0288,183.8181
48,17621.0,0.0001,173.023
49,19929.0,0.131,176.995
50,17957.0,0.0191,175.2501
51,16500.0,0.0636,169.6181
52,17408.0,0.012,184.6371
53,17382.0,0.0135,168.3819
54,18784.0,0.0661,174.0749
55,16584.0,0.0588,172.2159
56,20523.0,0.1648,175.045
57,17298.0,0.0183,178.55
58,16853.0,0.0435,178.6189
59,18844.0,0.0695,170.578
60,14910.0,0.1538,175.7698
61,16791.0,0.047,175.5528
62,18360.0,0.042,184.3939
63,17412.0,0.0118,174.448
64,17690.0,0.004,171.4401
65,17964.0,0.0195,173.492
66,18232.0,0.0347,178.926
67,17814.0,0.011,167.475
68,16221.0,0.0794,180.511
69,19381.0,0.0999,181.6032
70,15675.0,0.1104,176.8949
71,17212.0,0.0232,173.4929
72,18946.0,0.0753,174.123
73,17865.0,0.0139,174.0849
74,16015.0,0.0911,174.823
75,17283.0,0.0191,178.9448
76,18126.0,0.0287,170.6898
77,16187.0,0.0813,173.805
78,17890.0,0.0153,174.0131
79,18475.0,0.0485,173.9631
80,18964.0,0.0763,167.366
81,17279.0,0.0194,171.979
82,18884.0,0.0717,173.4021
83,16513.0,0.0628,167.505
84,18139.0,0.0295,174.2809
85,16556.0,0.0604,171.8061
86,16502.0,0.0635,166.899
87,18473.0,0.0484,171.072
88,18211.0,0.0335,173.3069
89,16734.0,0.0503,168.8859
90,17527.0,0.0053,171.7288
91,17719.0,0.0056,177.0661
92,17683.0,0.0036,175.5469
93,16509.0,0.0631,172.3001
94,19075.0,0.0826,176.4572
95,17561.0,0.0033,171.716
96,17080.0,0.0306,174.8431
97,18358.0,0.0419,168.2231
98,18236.0,0.035,170.8212
99,17274.0,0.0196,173.533
100,15553.0,0.1173,169.5771
