i,Estimacion,Error relativo,tiempo (ms)
1,458865.0,0.0755,5334.5792
2,457029.0,0.0792,4912.209
3,435358.0,0.1228,4896.6351
4,516050.0,0.0398,4903.6391
5,547363.0,0.1028,4901.015
6,463693.0,0.0657,4885.0582
7,537448.0,0.0829,4893.5351
8,459070.0,0.075,4918.03
9,507978.0,0.0235,4901.3331
10,493276.0,0.0061,4886.8899
11,537822.0,0.0836,4890.6519
12,521899.0,0.0515,4995.0421
13,442287.0,0.1089,4981.5679
14,512450.0,0.0325,4901.3181
15,498940.0,0.0053,4898.9189
16,520667.0,0.0491,4944.1011
17,500803.0,0.009,6171.5271
18,548630.0,0.1054,4884.4399
19,563667.0,0.1357,4899.642
20,581514.0,0.1717,4953.392
21,455478.0,0.0823,4959.6958
22,462928.0,0.0673,4945.183
23,483459.0,0.0259,4938.297
24,456623.0,0.08,4955.3039
25,534653.0,0.0772,4928.0229
26,512280.0,0.0322,4920.7399
27,466215.0,0.0607,4927.1929
28,459616.0,0.0739,4959.0101
29,502681.0,0.0128,4927.1359
30,506061.0,0.0196,4948.427
31,515189.0,0.038,4939.1179
32,461197.0,0.0708,4926.038
33,494303.0,0.0041,4933.2559
34,463136.0,0.0669,4949.8069
35,445737.0,0.1019,4939.796
36,482173.0,0.0285,4931.1321
37,503254.0,0.014,4928.304
38,452073.0,0.0891,4944.5889
39,499344.0,0.0061,5333.2131
40,467274.0,0.0585,4975.215
41,482476.0,0.0279,4949.4979
42,481646.0,0.0296,4939.9869
43,486125.0,0.0205,5009.0139
44,530242.0,0.0684,5010.272
45,475046.0,0.0429,4939.2581
46,522076.0,0.0519,4934.346
47,490999.0,0.0107,4981.3831
48,457707.0,0.0778,4969.1401
49,410233.0,0.1734,4978.6379
50,489674.0,0.0134,4987.8781
51,516482.0,0.0406,5032.8119
52,471777.0,0.0494,4916.7809
53,473152.0,0.0467,4919.256
54,439451.0,0.1146,4923.6999
55,483155.0,0.0265,4933.4812
56,482627.0,0.0276,4939.4701
57,463553.0,0.066,4928.498
58,459822.0,0.0735,4930.337
59,478583.0,0.0357,4942.687
60,480596.0,0.0317,4934.5059
61,513644.0,0.0349,4950.5939
62,432065.0,0.1295,4938.5369
63,519877.0,0.0475,4927.454
64,493592.0,0.0055,4941.5121
65,453335.0,0.0866,4966.4011
66,524830.0,0.0574,4891.1061
67,465231.0,0.0626,4930.46
68,546588.0,0.1013,4930.9659
69,456354.0,0.0805,4929.4949
70,560287.0,0.1289,4972.527
71,502598.0,0.0127,4952.28
72,503254.0,0.014,4972.0011
73,477250.0,0.0384,4920.3341
74,455545.0,0.0821,4939.0121
75,485207.0,0.0224,4954.695
76,504076.0,0.0156,4950.8359
77,508732.0,0.025,4989.852
78,503172.0,0.0138,4926.1651
79,521988.0,0.0517,4904.2571
80,543410.0,0.0949,4938.942
81,438203.0,0.1171,4923.9049
82,485436.0,0.0219,4962.0869
83,496212.0,0.0002,4932.198
84,452604.0,0.0881,4944.911
85,527612.0,0.0631,4939.105
86,508647.0,0.0248,4933.219
87,488666.0,0.0154,4964.7779
88,490921.0,0.0109,4991.8909
89,538666.0,0.0853,4987.3371
90,441717.0,0.11,4938.201
91,507643.0,0.0228,4915.8292
92,425804.0,0.1421,4966.331
93,542646.0,0.0933,5011.615
94,496691.0,0.0008,5141.9749
95,477177.0,0.0386,5123.862
96,508731.0,0.025,5183.223
97,523316.0,0.0544,5099.3989
98,481497.0,0.0299,5028.7058
99,545236.0,0.0986,4878.309
100,453336.0,0.0866,5074.4579
