i,Estimacion,Error relativo,tiempo (ms)
1,9493.0,0.0554,67.9619
2,9765.0,0.0856,53.0691
3,9688.0,0.077,53.2341
4,8011.0,0.1094,54.141
5,8637.0,0.0398,50.777
6,9115.0,0.0133,50.2179
7,9212.0,0.0241,53.5898
8,8420.0,0.0639,54.6501
9,9520.0,0.0584,55.0311
10,9020.0,0.0028,54.0771
11,9305.0,0.0345,54.7419
12,8462.0,0.0593,53.1118
13,9036.0,0.0046,55.4352
14,9084.0,0.0099,55.9661
15,8909.0,0.0096,54.4119
16,9857.0,0.0958,54.848
17,8698.0,0.033,55.0292
18,8503.0,0.0547,54.616
19,8892.0,0.0115,48.321
20,9512.0,0.0575,55.6991
21,9726.0,0.0813,59.052
22,8687.0,0.0342,51.008
23,8922.0,0.0081,52.4399
24,9532.0,0.0597,54.018
25,10025.0,0.1145,53.7071
26,10323.0,0.1476,53.087
27,8056.0,0.1044,55.6438
28,8985.0,0.0011,55.017
29,7615.0,0.1534,53.9808
30,8895.0,0.0111,54.836
31,9284.0,0.0321,54.7688
32,9138.0,0.0159,54.986
33,8085.0,0.1012,54.399
34,8848.0,0.0163,54.7459
35,9170.0,0.0195,47.658
36,8409.0,0.0651,52.17
37,9832.0,0.0931,54.0261
38,7500.0,0.1662,54.8491
39,9049.0,0.006,54.4271
40,9609.0,0.0683,58.754
41,8506.0,0.0544,53.2129
42,8911.0,0.0093,56.1671
43,8765.0,0.0256,53.134
44,9733.0,0.082,54.018
45,9807.0,0.0903,47.138
46,9747.0,0.0836,52.0051
47,10116.0,0.1246,53.777
48,8995.0,0.0,54.3659
49,9160.0,0.0183,55.6431
50,10008.0,0.1126,54.62
51,8224.0,0.0857,54.8608
52,8933.0,0.0069,54.5328
53,9212.0,0.0241,54.8768
54,9704.0,0.0788,55.1329
55,8808.0,0.0208,55.0032
56,9277.0,0.0314,55.2559
57,8116.0,0.0977,54.7109
58,9065.0,0.0078,54.5042
59,9301.0,0.034,48.034
60,8986.0,0.001,47.8129
61,8569.0,0.0474,55.846
62,9113.0,0.0131,55.2492
63,9278.0,0.0315,48.4159
64,8569.0,0.0474,52.8221
65,8412.0,0.0648,53.4489
66,8799.0,0.0218,54.07
67,8921.0,0.0082,54.4641
68,8527.0,0.052,55.9351
69,8788.0,0.023,48.207
70,9423.0,0.0476,51.959
71,7896.0,0.1222,53.694
72,9121.0,0.014,48.0349
73,8815.0,0.02,47.5428
74,9616.0,0.069,47.0529
75,8674.0,0.0357,48.6169
76,9076.0,0.009,49.7081
77,8727.0,0.0298,50.7801
78,9003.0,0.0009,56.077
79,9067.0,0.008,52.6819
80,9029.0,0.0038,55.3861
81,8671.0,0.036,48.2612
82,8645.0,0.0389,52.4139
83,8689.0,0.034,53.575
84,10285.0,0.1434,54.359
85,9341.0,0.0385,53.5171
86,8704.0,0.0324,56.3669
87,8414.0,0.0646,54.328
88,8966.0,0.0032,48.5361
89,8042.0,0.1059,51.6448
90,8026.0,0.1077,53.5772
91,8329.0,0.074,54.4698
92,9411.0,0.0462,55.3651
93,8608.0,0.043,54.9998
94,9052.0,0.0063,54.235
95,8444.0,0.0613,47.78
96,9627.0,0.0703,51.949
97,8217.0,0.0865,53.453
98,8354.0,0.0713,54.41
99,9076.0,0.009,54.7192
100,9217.0,0.0247,55.687
