i,Estimacion,Error relativo,tiempo (ms)
1,5568.0,0.0552,52.705
2,6364.0,0.0799,29.2339
3,5812.0,0.0137,23.3419
4,5890.0,0.0005,27.2751
5,5145.0,0.1269,29.691
6,6595.0,0.1191,23.4439
7,5869.0,0.0041,27.5259
8,5887.0,0.001,22.6941
9,5756.0,0.0232,27.3879
10,6022.0,0.0219,29.5169
11,5729.0,0.0278,23.0999
12,6201.0,0.0523,28.6071
13,6311.0,0.0709,29.1731
14,5631.0,0.0445,23.34
15,6416.0,0.0887,27.5102
16,6051.0,0.0268,29.737
17,5437.0,0.0774,30.308
18,5768.0,0.0212,23.716
19,6022.0,0.0219,27.931
20,5424.0,0.0796,29.731
21,6313.0,0.0713,24.5011
22,5946.0,0.009,27.0641
23,6292.0,0.0677,23.972
24,5775.0,0.02,26.6032
25,6054.0,0.0273,21.7061
26,5312.0,0.0986,27.498
27,5572.0,0.0545,29.3911
28,5496.0,0.0674,29.856
29,5992.0,0.0168,30.5569
30,5926.0,0.0056,24.1401
31,5329.0,0.0957,28.0061
32,5596.0,0.0504,29.2151
33,6273.0,0.0645,21.5852
34,5792.0,0.0171,28.6341
35,6012.0,0.0202,23.3891
36,5554.0,0.0575,27.931
37,4880.0,0.1719,29.134
38,5154.0,0.1254,23.2539
39,5925.0,0.0054,27.739
40,6285.0,0.0665,30.139
41,5239.0,0.111,30.242
42,6392.0,0.0847,22.089
43,6712.0,0.139,28.744
44,5504.0,0.066,21.5921
45,5962.0,0.0117,28.3649
46,6105.0,0.036,23.2129
47,5857.0,0.0061,27.1289
48,6022.0,0.0219,28.8022
49,6136.0,0.0412,24.1001
50,5414.0,0.0813,26.3269
51,6256.0,0.0616,24.1799
52,5264.0,0.1067,28.2362
53,5799.0,0.016,28.7111
54,6532.0,0.1084,23.8111
55,6106.0,0.0361,27.837
56,6621.0,0.1235,29.4631
57,5411.0,0.0818,30.288
58,6325.0,0.0733,30.519
59,5970.0,0.0131,22.0001
60,6252.0,0.0609,29.2001
61,6255.0,0.0614,29.4909
62,5847.0,0.0078,30.328
63,5592.0,0.0511,23.9658
64,6136.0,0.0412,27.9419
65,5826.0,0.0114,29.6462
66,6472.0,0.0983,22.917
67,6094.0,0.0341,20.3941
68,5911.0,0.0031,20.1061
69,6140.0,0.0419,24.744
70,5770.0,0.0209,25.0578
71,6511.0,0.1049,26.8381
72,5689.0,0.0346,22.2211
73,6067.0,0.0295,27.1208
74,5747.0,0.0248,29.165
75,5040.0,0.1447,30.025
76,6269.0,0.0638,24.1618
77,5494.0,0.0677,27.4901
78,5768.0,0.0212,29.742
79,6003.0,0.0187,30.247
80,5298.0,0.101,30.602
81,5877.0,0.0027,23.767
82,5820.0,0.0124,28.2791
83,5935.0,0.0071,29.2668
84,5988.0,0.0161,23.6681
85,6182.0,0.049,27.6749
86,5923.0,0.0051,23.103
87,5538.0,0.0602,28.0881
88,6658.0,0.1298,29.5181
89,5394.0,0.0847,23.4981
90,5252.0,0.1088,27.8201
91,6081.0,0.0319,39.093
92,6097.0,0.0346,31.8608
93,5815.0,0.0132,24.368
94,6480.0,0.0996,28.363
95,5629.0,0.0448,29.5448
96,5980.0,0.0148,23.566
97,5374.0,0.0881,28.1069
98,5854.0,0.0066,29.593
99,5621.0,0.0462,26.54
100,6218.0,0.0552,26.593
