i,Estimacion,Error relativo,tiempo (ms)
1,22403.0,0.0316,130.8072
2,22827.0,0.0133,119.0469
3,24574.0,0.0622,116.0998
4,23348.0,0.0093,115.612
5,21724.0,0.0609,114.881
6,23980.0,0.0366,115.2999
7,22361.0,0.0334,116.318
8,23234.0,0.0043,113.7412
9,25095.0,0.0848,114.0079
10,22977.0,0.0068,114.805
11,26701.0,0.1542,125.016
12,23375.0,0.0104,116.966
13,23669.0,0.0231,117.2929
14,23238.0,0.0045,113.6069
15,23423.0,0.0125,114.7001
16,23588.0,0.0196,116.7328
17,21558.0,0.0681,116.019
18,23816.0,0.0295,114.3541
19,23685.0,0.0238,116.231
20,24254.0,0.0484,112.5019
21,23004.0,0.0056,120.8849
22,24466.0,0.0576,123.481
23,25043.0,0.0825,119.1111
24,23113.0,0.0009,118.6979
25,22572.0,0.0243,116.3888
26,24131.0,0.0431,113.883
27,23460.0,0.0141,123.9419
28,22148.0,0.0426,122.4961
29,25387.0,0.0974,110.4319
30,22800.0,0.0144,114.1291
31,24344.0,0.0523,112.0548
32,22066.0,0.0462,109.946
33,20485.0,0.1145,113.5931
34,22640.0,0.0214,114.1241
35,22801.0,0.0144,113.842
36,24985.0,0.08,117.7189
37,22459.0,0.0292,119.2551
38,23877.0,0.0321,126.4951
39,20904.0,0.0964,116.858
40,23315.0,0.0078,126.6699
41,23989.0,0.037,116.7722
42,23631.0,0.0215,117.1191
43,23127.0,0.0003,115.7529
44,21515.0,0.07,117.7669
45,25274.0,0.0925,120.1639
46,24420.0,0.0556,116.5969
47,25705.0,0.1111,115.3209
48,22472.0,0.0286,114.7311
49,24396.0,0.0546,115.298
50,23583.0,0.0194,125.2182
51,24405.0,0.0549,116.436
52,24340.0,0.0521,115.037
53,21551.0,0.0684,116.6298
54,23543.0,0.0177,124.342
55,22637.0,0.0215,114.733
56,23205.0,0.0031,115.334
57,21231.0,0.0823,114.9092
58,22015.0,0.0484,115.4048
59,22752.0,0.0165,115.2699
60,25920.0,0.1204,115.422
61,21583.0,0.067,114.619
62,22921.0,0.0092,118.192
63,22597.0,0.0232,113.996
64,24118.0,0.0425,114.3122
65,25579.0,0.1057,115.4099
66,25007.0,0.081,117.131
67,24565.0,0.0619,122.8452
68,24783.0,0.0713,121.314
69,21988.0,0.0495,116.421
70,24846.0,0.074,127.5771
71,23876.0,0.0321,110.2209
72,24547.0,0.0611,114.5709
73,24367.0,0.0533,113.5569
74,24056.0,0.0399,114.2879
75,25390.0,0.0975,113.6451
76,24922.0,0.0773,114.8779
77,24917.0,0.0771,114.378
78,23443.0,0.0134,115.258
79,21577.0,0.0673,121.5751
80,23609.0,0.0205,118.247
81,22751.0,0.0166,116.2159
82,22148.0,0.0426,114.8121
83,23952.0,0.0354,115.716
84,23503.0,0.016,115.8979
85,21784.0,0.0584,114.0878
86,23587.0,0.0196,114.639
87,23150.0,0.0007,115.849
88,23033.0,0.0044,114.3501
89,24562.0,0.0617,115.85
90,23868.0,0.0317,120.667
91,22877.0,0.0111,117.6822
92,25314.0,0.0942,116.7979
93,21151.0,0.0857,115.3591
94,20056.0,0.1331,115.0331
95,21502.0,0.0705,115.278
96,22576.0,0.0241,114.722
97,24526.0,0.0602,114.861
98,24697.0,0.0676,122.8411
99,21895.0,0.0536,118.016
100,23014.0,0.0052,122.3841
