i,Estimacion,Error relativo,tiempo (ms)
1,9199.0,0.0334,69.7391
2,8823.0,0.0729,56.3309
3,8390.0,0.1184,60.185
4,9389.0,0.0134,49.768
5,9199.0,0.0334,60.0779
6,9697.0,0.0189,57.5471
7,10269.0,0.079,49.577
8,9497.0,0.0021,50.1978
9,10085.0,0.0597,49.68
10,9886.0,0.0388,57.9081
11,10364.0,0.089,57.215
12,8327.0,0.125,55.47
13,8489.0,0.108,55.0959
14,9845.0,0.0345,55.861
15,10426.0,0.0955,54.327
16,9627.0,0.0116,55.9461
17,8244.0,0.1338,53.787
18,8944.0,0.0602,61.95
19,9986.0,0.0493,57.873
20,8828.0,0.0724,56.2971
21,8861.0,0.0689,62.1209
22,9260.0,0.027,58.6131
23,9376.0,0.0148,53.447
24,7789.0,0.1816,56.947
25,9588.0,0.0075,55.3029
26,9942.0,0.0447,56.216
27,9131.0,0.0406,55.614
28,9103.0,0.0435,54.6479
29,8972.0,0.0573,55.167
30,9289.0,0.024,54.0831
31,10682.0,0.1224,54.3351
32,9519.0,0.0002,55.4879
33,8556.0,0.101,54.702
34,9585.0,0.0071,55.7721
35,8921.0,0.0626,53.659
36,8273.0,0.1307,55.5291
37,10248.0,0.0768,53.4651
38,10052.0,0.0562,56.4618
39,9870.0,0.0371,49.283
40,8728.0,0.0829,49.5
41,9517.0,0.0,55.948
42,8450.0,0.1121,49.2079
43,9091.0,0.0448,49.963
44,9392.0,0.0131,53.828
45,10762.0,0.1308,52.86
46,10895.0,0.1448,55.943
47,9394.0,0.0129,54.821
48,9884.0,0.0386,54.6491
49,9244.0,0.0287,56.2279
50,9469.0,0.005,54.812
51,9867.0,0.0368,54.323
52,10144.0,0.0659,54.173
53,9013.0,0.053,55.213
54,10099.0,0.0612,55.223
55,9280.0,0.0249,54.8859
56,10566.0,0.1102,52.784
57,9066.0,0.0474,55.4001
58,9635.0,0.0124,55.465
59,9491.0,0.0027,55.187
60,9018.0,0.0524,55.881
61,10433.0,0.0962,54.816
62,9031.0,0.0511,54.503
63,8651.0,0.091,54.5199
64,9498.0,0.002,60.343
65,9431.0,0.009,51.903
66,10382.0,0.0909,53.9091
67,8440.0,0.1132,54.5971
68,10518.0,0.1052,55.4981
69,9363.0,0.0162,54.353
70,9850.0,0.035,55.0308
71,8738.0,0.0819,54.7299
72,9295.0,0.0233,55.2361
73,10317.0,0.0841,56.349
74,9636.0,0.0125,55.5189
75,10706.0,0.1249,51.163
76,9255.0,0.0275,49.7761
77,10198.0,0.0716,53.8921
78,9574.0,0.006,59.9401
79,8797.0,0.0757,56.962
80,10985.0,0.1543,56.1512
81,11141.0,0.1706,59.0699
82,9448.0,0.0073,53.4141
83,9975.0,0.0481,53.9141
84,8890.0,0.0659,55.517
85,10113.0,0.0626,54.811
86,9553.0,0.0038,59.7439
87,10608.0,0.1146,54.4069
88,9704.0,0.0196,59.2029
89,9718.0,0.0211,57.5001
90,9291.0,0.0237,53.519
91,9751.0,0.0246,54.6939
92,9186.0,0.0348,55.8062
93,10130.0,0.0644,54.7781
94,10728.0,0.1272,55.321
95,9283.0,0.0246,55.4309
96,9746.0,0.0241,54.6861
97,9395.0,0.0128,54.311
98,10343.0,0.0868,54.1451
99,9493.0,0.0025,54.698
100,9911.0,0.0414,55.619
