i,Estimacion,Error relativo,tiempo (ms)
1,6304.0,0.0944,44.8449
2,5796.0,0.0063,18.3091
3,5790.0,0.0052,18.5618
4,5479.0,0.0488,18.8608
5,5671.0,0.0155,18.949
6,5689.0,0.0123,18.7099
7,5584.0,0.0306,18.9209
8,5200.0,0.0972,18.7609
9,5618.0,0.0247,12.3451
10,5472.0,0.05,21.373
11,5947.0,0.0325,14.7731
12,5698.0,0.0108,16.752
13,5232.0,0.0917,18.1401
14,5482.0,0.0483,18.537
15,5727.0,0.0057,18.6861
16,6293.0,0.0925,18.8491
17,5914.0,0.0267,11.8709
18,5644.0,0.0201,16.1359
19,4995.0,0.1328,17.735
20,5435.0,0.0564,18.4259
21,5843.0,0.0144,14.2479
22,6368.0,0.1056,14.482
23,5939.0,0.0311,21.1961
24,6121.0,0.0627,16.057
25,6092.0,0.0576,17.5772
26,5352.0,0.0708,18.441
27,6263.0,0.0873,18.5061
28,5651.0,0.0189,18.857
29,5916.0,0.0271,18.7819
30,5513.0,0.0429,18.769
31,5486.0,0.0476,18.2309
32,6046.0,0.0497,17.8781
33,5755.0,0.0009,19.522
34,5551.0,0.0363,19.7558
35,5775.0,0.0026,19.093
36,5649.0,0.0193,19.146
37,6085.0,0.0564,17.848
38,5986.0,0.0392,19.5649
39,6014.0,0.0441,19.0279
40,5956.0,0.034,19.026
41,5381.0,0.0658,18.9531
42,5160.0,0.1042,18.9869
43,5693.0,0.0116,12.356
44,6869.0,0.1925,9.9452
45,6135.0,0.0651,14.456
46,5558.0,0.0351,16.9752
47,5464.0,0.0514,18.044
48,5807.0,0.0082,18.5699
49,5180.0,0.1007,17.5021
50,5588.0,0.0299,19.6631
51,5536.0,0.0389,19.1112
52,5063.0,0.121,18.975
53,5617.0,0.0248,18.9321
54,5516.0,0.0424,19.2149
55,5948.0,0.0326,18.8062
56,5749.0,0.0019,18.744
57,5244.0,0.0896,18.867
58,5421.0,0.0589,18.9581
59,5344.0,0.0722,16.9768
60,5547.0,0.037,20.0162
61,5915.0,0.0269,19.654
62,5419.0,0.0592,18.9309
63,5578.0,0.0316,18.8379
64,5485.0,0.0477,18.9869
65,5859.0,0.0172,18.9061
66,6319.0,0.097,18.966
67,5697.0,0.0109,18.8189
68,5510.0,0.0434,18.9211
69,5871.0,0.0193,19.0282
70,4887.0,0.1516,18.9078
71,5160.0,0.1042,18.784
72,5269.0,0.0852,18.7972
73,6019.0,0.045,18.9939
74,5064.0,0.1208,18.949
75,5786.0,0.0045,18.9221
76,5298.0,0.0802,18.8632
77,5281.0,0.0832,18.9431
78,6822.0,0.1844,18.908
79,5554.0,0.0358,11.3599
80,5915.0,0.0269,16.4411
81,6157.0,0.0689,17.719
82,5734.0,0.0045,16.932
83,5901.0,0.0245,9.994
84,5580.0,0.0313,17.9029
85,5369.0,0.0679,16.139
86,5836.0,0.0132,20.087
87,5617.0,0.0248,19.29
88,5204.0,0.0965,19.0821
89,5650.0,0.0191,16.7379
90,4966.0,0.1378,19.954
91,6214.0,0.0788,19.5918
92,6239.0,0.0832,19.2971
93,5011.0,0.13,18.9369
94,5632.0,0.0222,18.8789
95,5581.0,0.0311,18.991
96,5570.0,0.033,18.857
97,5088.0,0.1167,19.0001
98,6170.0,0.0712,18.888
99,5278.0,0.0837,11.915
100,5898.0,0.024,16.2261
